size,source,runtime
10,Francis,6.56E-02
20,Francis,5.97E-01
30,Francis,1.92E+00
40,Francis,9.17E+00
50,Francis,1.56E+01
60,Francis,1.82E+01
70,Francis,2.96E+01
80,Francis,6.44E+01
90,Francis,8.34E+01
100,Francis,1.68E+02
110,Francis,
120,Francis,
130,Francis,
140,Francis,
150,Francis,
160,Francis,
170,Francis,
180,Francis,
190,Francis,
200,Francis,
210,Francis,
220,Francis,
230,Francis,
240,Francis,
250,Francis,
260,Francis,
270,Francis,
280,Francis,
290,Francis,
300,Francis,
310,Francis,
320,Francis,
330,Francis,
340,Francis,
350,Francis,
360,Francis,
370,Francis,
380,Francis,
390,Francis,
400,Francis,
410,Francis,
420,Francis,
430,Francis,
440,Francis,
450,Francis,
460,Francis,
470,Francis,
480,Francis,
490,Francis,
500,Francis,
510,Francis,
520,Francis,
530,Francis,
540,Francis,
550,Francis,
560,Francis,
570,Francis,
580,Francis,
590,Francis,
600,Francis,
610,Francis,
620,Francis,
630,Francis,
640,Francis,
650,Francis,
660,Francis,
670,Francis,
680,Francis,
690,Francis,
700,Francis,
710,Francis,
720,Francis,
730,Francis,
740,Francis,
750,Francis,
760,Francis,
770,Francis,
780,Francis,
790,Francis,
800,Francis,
810,Francis,
820,Francis,
830,Francis,
840,Francis,
850,Francis,
860,Francis,
870,Francis,
880,Francis,
890,Francis,
900,Francis,
910,Francis,
920,Francis,
930,Francis,
940,Francis,
950,Francis,
960,Francis,
970,Francis,
980,Francis,
990,Francis,
1000,Francis,
10,Jacobi,0.007263708
20,Jacobi,0.015874195
30,Jacobi,0.04324398
40,Jacobi,0.071418691
50,Jacobi,0.108776832
60,Jacobi,0.160413289
70,Jacobi,0.252412677
80,Jacobi,0.496493721
90,Jacobi,1.523848295
100,Jacobi,1.299897861
110,Jacobi,0.767891622
120,Jacobi,0.946254206
130,Jacobi,1.091143513
140,Jacobi,1.367832899
150,Jacobi,1.639011812
160,Jacobi,1.913737869
170,Jacobi,2.314404416
180,Jacobi,2.478606081
190,Jacobi,2.857670403
200,Jacobi,3.180249119
210,Jacobi,3.883796787
220,Jacobi,4.301070261
230,Jacobi,5.421796179
240,Jacobi,5.997794747
250,Jacobi,6.034677672
260,Jacobi,7.003767991
270,Jacobi,7.239673924
280,Jacobi,8.525707293
290,Jacobi,9.087529063
300,Jacobi,9.272627187
310,Jacobi,316.7416418
320,Jacobi,10.08876901
330,Jacobi,11.01969879
340,Jacobi,12.10125246
350,Jacobi,12.8156204
360,Jacobi,13.92266593
370,Jacobi,14.86260812
380,Jacobi,22.41447082
390,Jacobi,20.71569746
400,Jacobi,19.21513157
410,Jacobi,20.83101065
420,Jacobi,21.18306253
430,Jacobi,23.44053016
440,Jacobi,23.15774734
450,Jacobi,25.48485954
460,Jacobi,30.13573692
470,Jacobi,29.08043518
480,Jacobi,34.48939216
490,Jacobi,33.90157242
500,Jacobi,
510,Jacobi,
520,Jacobi,
530,Jacobi,
540,Jacobi,
550,Jacobi,
560,Jacobi,
570,Jacobi,
580,Jacobi,
590,Jacobi,
600,Jacobi,
610,Jacobi,
620,Jacobi,
630,Jacobi,
640,Jacobi,
650,Jacobi,
660,Jacobi,
670,Jacobi,
680,Jacobi,
690,Jacobi,
700,Jacobi,
710,Jacobi,
720,Jacobi,
730,Jacobi,
740,Jacobi,
750,Jacobi,
760,Jacobi,
770,Jacobi,
780,Jacobi,
790,Jacobi,
800,Jacobi,
810,Jacobi,
820,Jacobi,
830,Jacobi,
840,Jacobi,
850,Jacobi,
860,Jacobi,
870,Jacobi,
880,Jacobi,
890,Jacobi,
900,Jacobi,
910,Jacobi,
920,Jacobi,
930,Jacobi,
940,Jacobi,
950,Jacobi,
960,Jacobi,
970,Jacobi,
980,Jacobi,
990,Jacobi,
1000,Jacobi,
10,R,0.000200105
20,R,0.000300312
30,R,0.000301719
40,R,0.000497174
50,R,0.001001668
60,R,0.001804304
70,R,0.002103329
80,R,0.002305937
90,R,0.003809333
100,R,0.00591495
110,R,0.007620001
120,R,0.010527468
130,R,0.014438152
140,R,0.013335109
150,R,0.013839245
160,R,0.015841866
170,R,0.019952703
180,R,0.022960901
190,R,0.025367093
200,R,0.031785107
210,R,0.034291625
220,R,0.039505506
230,R,0.045223904
240,R,0.051540422
250,R,0.056352019
260,R,0.062865925
270,R,0.083726716
280,R,0.076503229
290,R,0.08913703
300,R,0.186502123
310,R,0.133660555
320,R,0.121230006
330,R,0.129762363
340,R,0.138569355
350,R,0.149401546
360,R,0.156023812
370,R,0.166347504
380,R,0.181893301
390,R,0.197735167
400,R,0.214582229
410,R,0.233132887
420,R,0.239350939
430,R,0.254091597
440,R,0.287172771
450,R,0.313849831
460,R,0.327793455
470,R,0.341120124
480,R,0.378015399
490,R,0.466755962
500,R,0.600316215
510,R,0.627389097
520,R,0.66458919
530,R,0.649147725
540,R,0.713119411
550,R,0.69898138
560,R,0.712317729
570,R,0.770172596
580,R,0.683039165
590,R,0.73517971
600,R,0.67762754
610,R,0.730660129
620,R,0.737692952
630,R,0.77498641
640,R,0.826838088
650,R,0.849289584
660,R,0.887091732
670,R,1.023863006
680,R,0.966907597
690,R,1.249613976
700,R,1.329045153
710,R,1.23462081
720,R,1.211535287
730,R,1.357705903
740,R,1.447375536
750,R,1.477778912
760,R,1.604041028
770,R,1.614126873
780,R,1.592764926
790,R,1.762011337
800,R,2.040097237
810,R,1.955430174
820,R,1.935608816
830,R,2.022452903
840,R,2.118766236
850,R,2.408643818
860,R,3.016772079
870,R,2.670081735
880,R,2.687787223
890,R,2.685328531
900,R,2.832695103
910,R,3.082552767
920,R,2.833944082
930,R,3.384371448
940,R,3.119680333
950,R,3.531623745
960,R,3.516821337
970,R,3.549563384
980,R,3.548685479
990,R,3.689992023
1000,R,3.620321298
10,MatLab,0.001176429
20,MatLab,0.000109458
30,MatLab,0.000198412
40,MatLab,0.000223279
50,MatLab,0.000310874
60,MatLab,0.000499701
70,MatLab,0.00061655
80,MatLab,0.000958705
90,MatLab,0.001487136
100,MatLab,0.002226233
110,MatLab,0.002915454
120,MatLab,0.003598285
130,MatLab,0.003948116
140,MatLab,0.005965066
150,MatLab,0.006033134
160,MatLab,0.007482386
170,MatLab,0.008022952
180,MatLab,0.009452581
190,MatLab,0.009849834
200,MatLab,0.009173918
210,MatLab,0.010285258
220,MatLab,0.010540175
230,MatLab,0.010105586
240,MatLab,0.011675739
250,MatLab,0.012562823
260,MatLab,0.012823629
270,MatLab,0.013766646
280,MatLab,0.01648221
290,MatLab,0.015847301
300,MatLab,0.017502046
310,MatLab,0.019489408
320,MatLab,0.01993897
330,MatLab,0.021734691
340,MatLab,0.024973917
350,MatLab,0.025074744
360,MatLab,0.029278207
370,MatLab,0.032754397
380,MatLab,0.031502938
390,MatLab,0.033345819
400,MatLab,0.039735889
410,MatLab,0.039228201
420,MatLab,0.036512065
430,MatLab,0.037789893
440,MatLab,0.040164995
450,MatLab,0.043658662
460,MatLab,0.045020819
470,MatLab,0.048470712
480,MatLab,0.052997375
490,MatLab,0.058795929
500,MatLab,0.071487975
510,MatLab,0.07160058
520,MatLab,0.076156807
530,MatLab,0.106359696
540,MatLab,0.083471107
550,MatLab,0.084088349
560,MatLab,0.095459938
570,MatLab,0.091102314
580,MatLab,0.127606297
590,MatLab,0.125758982
600,MatLab,0.126569867
610,MatLab,0.143854928
620,MatLab,0.137870193
630,MatLab,0.187040091
640,MatLab,0.193585587
650,MatLab,0.176731014
660,MatLab,0.164563847
670,MatLab,0.157570291
680,MatLab,0.178232598
690,MatLab,0.206922412
700,MatLab,0.227778244
710,MatLab,0.225486422
720,MatLab,0.2139884
730,MatLab,0.274337387
740,MatLab,0.234354186
750,MatLab,0.260246062
760,MatLab,0.338997149
770,MatLab,0.297112346
780,MatLab,0.311732578
790,MatLab,0.312243295
800,MatLab,0.347073579
810,MatLab,0.398585224
820,MatLab,0.449697948
830,MatLab,0.408854842
840,MatLab,0.461382818
850,MatLab,0.421585298
860,MatLab,0.432057905
870,MatLab,0.529514027
880,MatLab,0.466857624
890,MatLab,0.500047851
900,MatLab,0.538081408
910,MatLab,0.543650699
920,MatLab,0.52953999
930,MatLab,0.604841423
940,MatLab,0.577610803
950,MatLab,0.650622869
960,MatLab,0.616140032
970,MatLab,0.749250698
980,MatLab,0.707889724
990,MatLab,0.7319767
1000,MatLab,0.853217769
