"","ï..feature_01","feature_02","feature_03","feature_04","feature_05","feature_06","feature_07","feature_08","feature_09","feature_10","feature_11"
"ï..feature_01",1,-0.0226972901466472,0.289180697693674,0.0890207013621715,0.0230856436563478,-0.0493958590811732,0.0910697561586407,0.265331013839187,-0.425858290991383,-0.0171429850211373,-0.120881123193599
"feature_02",-0.0226972901466472,1,-0.149471810648574,0.0642860600909955,0.0705115714793845,-0.0970119392779602,0.0892605035517785,0.0271138454624343,-0.0319153682734889,-0.0357281469058147,0.0677179427807187
"feature_03",0.289180697693674,-0.149471810648574,1.00000000000002,0.0942116242904939,0.114364448386818,0.0940772210146963,0.121130797664418,0.149502570570024,-0.163748211400624,0.0623309402852327,-0.0757287300571258
"feature_04",0.0890207013621715,0.0642860600909955,0.0942116242904939,0.999999999999996,0.0886845359412254,0.299098353693517,0.401439311159925,0.838966454904583,-0.194133453990256,-0.0266643658538583,-0.450631222032715
"feature_05",0.0230856436563478,0.0705115714793845,0.114364448386818,0.0886845359412254,0.99999999999999,0.101392352141329,0.198910299645056,0.257211320436436,-0.0904394559759817,0.0167628837081757,-0.360188712107874
"feature_06",-0.0493958590811732,-0.0970119392779602,0.0940772210146963,0.299098353693517,0.101392352141329,1,0.615500965009835,0.294210410884309,-0.000617796140331111,0.0592172458252631,-0.250103941479281
"feature_07",0.0910697561586407,0.0892605035517785,0.121130797664418,0.401439311159925,0.198910299645056,0.615500965009835,0.999999999999994,0.529881323878611,0.00232097176827791,0.134562366929809,-0.448892102058256
"feature_08",0.265331013839187,0.0271138454624343,0.149502570570024,0.838966454904583,0.257211320436436,0.294210410884309,0.529881323878611,1,-0.0935914934552443,0.0744931485116761,-0.780137621425811
"feature_09",-0.425858290991383,-0.0319153682734889,-0.163748211400624,-0.194133453990256,-0.0904394559759817,-0.000617796140331111,0.00232097176827791,-0.0935914934552443,1,0.155951497279652,0.121432098749461
"feature_10",-0.0171429850211373,-0.0357281469058147,0.0623309402852327,-0.0266643658538583,0.0167628837081757,0.0592172458252631,0.134562366929809,0.0744931485116761,0.155951497279652,1,-0.0174327718610153
"feature_11",-0.120881123193599,0.0677179427807187,-0.0757287300571258,-0.450631222032715,-0.360188712107874,-0.250103941479281,-0.448892102058256,-0.780137621425811,0.121432098749461,-0.0174327718610153,1
